Project: metvar
Soft: FS
System: M band

# Name                  ra              dec               v_sys          min    max   cycles     fs_script_name  
G32P74                  18h51m21.85s    -00d12m06.40s       35.0         1      1     20         mc32p74 
#Periodyczne                                                             	                 
G12P89                  18h11m51.4s     -17d32m29.6s        35.0         1      2     20         mc12p89  
G22P356                 18h31m44.12s    -09d22m12.3s        80.0         8      12    20         mc22p356 
G24P148                 18h35m20.94s    -07d48m55.7s        17.9         7      7     20         mc24p148 
G25P411                 18h37m16.921s   -06d38m30.50s       97.19        8      14    20         mc25p411 
G30P398                 18h47m52.30s    -02d23m16.0s        98.2         8      14    20         mc30p398 
G36P70                  18h57m59.86s     03d23m38.94s       54.0         2      3     60         mc36p70  
G37P55                  18h59m11.4s      04d12m14.0s        83.7         8      14    20         mc37p55  
G45P47a                 19h14m08.2s      11d12m16.0s        65.7         8      14    20         mc45p47a 
G59P63                  19h43m50.00s     23d28m38.80s       29.53        5      10    20         mc59p63  
G73P04                  20h08m10.2s      35d59m23.7s       -2.5          5      10    20         mc73p04  
G75P76                  20h21m44.2s      37d26m36.7s       -2.9          10     14    30         mc75p76  
G107P29                 22h21m22.500s    63d51m13.0s       -8.53         1      4     20         mc107p29 
G196P45                 06h14m37.06s     13d49m36.0s        15.0         7      10    20         mc196p45 
G108P76                 22h58m47.500s    58d45m01.4s       -45.58        5      10    20         mc108p76 
#Fast variability                                                                                
G25P65  	        18h34m20.90s    -05d59m41.46s       41.7         1      2     20         mc25p65 	
G33P648  	        18h53m32.56s     00d31m39.3s        62.6         1      2     20         mc33p648 
G24P329  	        18h35m08.09s    -07d35m03.6s        110.0        1      2     20         mc24p329 
G358P00  	        17h43m10.0s     -29d51m45.8s        -16          1      2     20         mc358p00 
#Osobliwe                                           
G24P541  	        18h34m55.72s    -07d19m06.7s        105.5        7      14    20         mc24p541 
G28P86  	        18h43m46.24s    -03d35m33.40s       104.87       7      14    20         mc28p86 	
G31P059  	        18h47m41.35s    -01d37m26.2s        16.2         7      14    20         mc31p059 
G34P257                 18h53m18.63s     01d14m57.4s        57.6         7      14    20         mc34p257 
G35P200  	        19h01m45.54s     01d13m32.6s        43.5         7      14    20         mc35p200 
G49P04   	        19h25m22.25s     13d47m19.50s       36.66        7      14    20         mc49p04 	
G80P85  	        20h37m00.96s     41d34m55.7s        -4.1         7      14    20         mc80p85  
W75N  	                20h38m36.40s     42d37m34.50s       5.0         7      14    20         mcw75n 	
G81P76  	        20h39m03.5s      42d25m53.0s        -1.0         7      14    20         mc81p76 	
G94P58  	        21h39m58.26s     50d14m21.0s        -40.9        7      14    20         mc94p58 	
G111P25  	        23h16m10.36s     59d55m28.67s       -38.5         7      14    20         mc111p24 
S252  	                06h08m53.7s      21d38m30.0s        11.0         7      14    20         mcs252 	
G192P60  	        06h12m54.02s     17d59m23.0s        5.0          7      14    20         mc192p60 
G213P705  	        06h07m47.862s   -06d22m56.52s       10.74        7      14    20         mc213p70 
#Powolne zmiany                                         
G10P320  	        18h09m23.00s    -20d08m07.00s  	    39.00        15     28    20         mc10p320 
G11P034  	        18h09m40.00s    -19d21m20.00s  	    20.00        15     28    20         mc11p034 
G11P904  	        18h12m11.00s    -18d41m29.00s  	    42.79        15     28    20         mc11p904 
G12P209  	        18h12m40.00s    -18d24m18.00s  	    20.00        15     28    20         mc12p209 
G12P681  	        18h13m55.00s    -18d01m47.00s  	    58.40        15     28    20         mc12p681 
G15P034  	        18h20m25.00s    -16d11m35.00s  	    21.30        15     28    20         mc15p034 
G20P237  	        18h27m45.00s    -11d14m54.00s  	    71.90        15     28    20         mc20p237 
G23P207  	        18h34m55.21s    -08d49m14.89s  	    81.80        15     28    20         mc23p207 
G23P389  	        18h33m14.32s    -08d23m57.47s  	    75.00        15     28    20         mc23p389 
G23P657  	        18h34m51.56s    -08d18m21.30s  	    82.80        15     28    20         mc23p657 
G24P635  	        18h37m22.71s    -07d31m42.1s        35.5         15     28    20         mc24p635 
G24P850   	        18h36m18.40s    -07d08m53.10s  	    110.10       15     28    20         mc24p850 
G25P494   	        18h37m35.44s    -06d35m13.4s        103.8        15     28    20         mc25p494 
G25P710  	        18h38m03.00s    -06d24m16.0s        95.97        15     28    20         mc25p710 
G26P598  	        18h39m55.92s    -05d38m44.64s  	    23.00        15     28    20         mc26p598 
G28P201   	        18h42m58.08s    -04d13m56.20s  	    97.27        15     28    20         mc28p201 
G28P817  	        18h42m37.34s    -03d29m40.92s  	    91.00        15     28    20         mc28p817 
G31P047  	        18h46m43.85s    -01d30m54.15s  	    81.00        15     28    20         mc31p047 
G31P581  	        18h48m41.94s    -01d10m02.53s  	    95.80        15     28    20         mc31p581 
G32P082   	        18h49m36.60s    -00d43m16.4s  	    92.9         15     28    20         mc32p082 
G33P09  	        18h51m59.58s     00d06m35.5s  	    96.0         15     28    20         mc33p09 	
G33P980  	        18h53m25.01s     00d55m25.97s  	    59.00        15     28    20         mc33p980 
G34P267  	        18h54m37.00s     01d05m34.00s  	    54.5         15     28    20         mc34p267 
G34P751  	        18h55m05.22s     01d34m36.26s  	    53.00        15     28    20         mc34p751 
G35P025  	        18h54m01.00s     02d01m19.00s  	    44.30        15     28    20         mc35p025 
G35P793  	        18h57m16.89s     02d27m57.91s  	    60.72        15     28    20         mc35p793 
